black,"Black",#000,0,0,0
blue,"Blue",#00f,0,0,200
bright_green,"Bright Green",#6f0,102,255,0
bright_pink,"Bright Pink",#ff007f,255,0,127
bronze,"Bronze",#cd7f32,205,127,50
brown_traditional,"Brown (Traditional)",#964b00,150,75,0
cyan,"Cyan",#0ff,0,255,255
dark_yellow,"Dark Yellow",#9b870c,155,135,12
deep_sky_blue,"Deep Sky Blue",#00bfff,0,191,255
gray,"Gray",#808080,128,128,128
green,"Green",#0f0,0,200,0
orange,"Orange",#ff7f00,255,127,0
pink,"Pink",#ffc0cb,255,192,203
red,"Red",#f00,200,0,0
white,"White",#fff,255,255,255